[20:49:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[20:49:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[20:49:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[20:49:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[20:49:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[20:49:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[20:49:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[20:49:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[21:30:24] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[21:30:27] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[21:30:27] ConvaiGRPCLog : Log : Destroying UConvaiGRPCGetResponseProxy... | Character ID :  | Session ID : 
[21:30:27] ConvaiGRPCFeedBackLog : Log : On Stream Finish | Interaction ID :  | Feedback Text :  | ThumbsUp: False
[21:30:27] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[21:30:27] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[21:30:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID :  | Session ID : -1
[21:30:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[21:30:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
[21:30:31] ConvaiChatbotComponentLog : Log : Cleanup | Character ID : 232fa388-76f5-11f0-9d07-42010a7be01f | Session ID : -1
